field_id,field_custom_id,field_type,field_custom,field_name,context_id,context_name,context_all_projects,context_project_ids,context_project_keys,context_all_issue_types,context_issue_type_ids,context_issue_type_names,option_id,option_value,option_parent_id,option_parent_value,visibility_note
customfield_10070,10070,number,com.atlassian.jira.plugin.system.customfieldtypes:float,Story Points,10172,Default Configuration Scheme for Story Points,False,,,False,,,,,,,
customfield_10030,10030,number,com.atlassian.jira.plugins.proforma-managed-fields:forms-submitted-field-cftype,Submitted forms,10130,Default Configuration Scheme for Submitted forms,False,,,False,,,,,,,
customfield_10031,10031,number,com.atlassian.jira.plugins.proforma-managed-fields:forms-open-field-cftype,Open forms,10132,Default Configuration Scheme for Open forms,False,,,False,,,,,,,
customfield_10032,10032,number,com.atlassian.jira.plugins.proforma-managed-fields:forms-total-field-cftype,Total forms,10133,Default Configuration Scheme for Total forms,False,,,False,,,,,,,
customfield_10033,10033,array,com.atlassian.jira.plugins.jira-development-integration-plugin:designcf,Design,10134,Default Configuration Scheme for Design,False,,,False,,,,,,,
customfield_10034,10034,array,com.atlassian.jira.plugin.system.customfieldtypes:focus-areas,Focus Areas,10135,Default Configuration Scheme for Focus Areas,False,,,False,,,,,,,
customfield_10035,10035,any,com.atlassian.jira.plugins.jira-development-integration-plugin:vulnerabilitycf,Vulnerability,10136,Default Configuration Scheme for Vulnerability,False,,,False,,,,,,,
customfield_10036,10036,string,read-only-string-issue-field,Project overview key,10137,Default Configuration Scheme for Project overview key,False,,,False,,,,,,,
customfield_10037,10037,string,read-only-string-issue-field,Project overview status,10138,Default Configuration Scheme for Project overview status,False,,,False,,,,,,,
customfield_10027,10027,any,com.atlassian.jira.ext.charting:timeinstatus,[CHART] Time in Status,10128,Default Configuration Scheme for [CHART] Time in Status,False,,,False,,,,,,,
customfield_10028,10028,array,com.atlassian.jira.plugin.system.customfieldtypes:goals,Goals,10129,Default Configuration Scheme for Goals,False,,,False,,,,,,,
customfield_10029,10029,number,com.atlassian.jira.plugins.proforma-managed-fields:forms-locked-field-cftype,Locked forms,10131,Default Configuration Scheme for Locked forms,False,,,False,,,,,,,
customfield_10020,10020,array,com.pyxis.greenhopper.jira:gh-sprint,Sprint,10120,Default Configuration Scheme for Sprint,False,,,False,,,,,,,
customfield_10021,10021,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,Flagged,10121,Default Configuration Scheme for Flagged,False,,,False,,,10019,Impediment,,,
customfield_10022,10022,date,com.atlassian.jpo:jpo-custom-field-baseline-start,Target start,10122,Default Configuration Scheme for Target start,False,,,False,,,,,,,
customfield_10023,10023,date,com.atlassian.jpo:jpo-custom-field-baseline-end,Target end,10123,Default Configuration Scheme for Target end,False,,,False,,,,,,,
customfield_10024,10024,array,com.atlassian.servicedesk.sentiment:sd-sentiment,Sentiment,10125,Default Configuration Scheme for Sentiment,False,,,False,,,,,,,
customfield_10025,10025,sd-approvals,com.atlassian.servicedesk.approvals-plugin:sd-approvals,Approvals,10126,Default Configuration Scheme for Approvals,False,,,False,,,,,,,
customfield_10026,10026,datetime,com.atlassian.jira.ext.charting:firstresponsedate,[CHART] Date of First Response,10127,Default Configuration Scheme for [CHART] Date of First Response,False,,,False,,,,,,,
customfield_10016,10016,number,com.pyxis.greenhopper.jira:jsw-story-points,Story point estimate,10116,Default Configuration Scheme for Story point estimate,False,,,False,,,,,,,
customfield_10017,10017,string,com.pyxis.greenhopper.jira:jsw-issue-color,Issue color,10117,Default Configuration Scheme for Issue color,False,,,False,,,,,,,
customfield_10018,10018,any,com.atlassian.jpo:jpo-custom-field-parent,Parent Link,10118,Default Configuration Scheme for Parent Link,False,,,False,,,,,,,
customfield_10019,10019,any,com.pyxis.greenhopper.jira:gh-lexo-rank,Rank,10119,Default Configuration Scheme for Rank,False,,,False,,,,,,,
customfield_10010,10010,sd-customerrequesttype,com.atlassian.servicedesk:vp-origin,Request Type,10110,Default Configuration Scheme for Request Type,False,,,False,,,,,,,
customfield_10011,10011,string,com.pyxis.greenhopper.jira:gh-epic-label,Epic Name,10111,Default Configuration Scheme for Epic Name,False,,,False,,,,,,,
customfield_10012,10012,option,com.pyxis.greenhopper.jira:gh-epic-status,Epic Status,10112,Default Configuration Scheme for Epic Status,False,,,False,,,10016,To Do,,,
customfield_10012,10012,option,com.pyxis.greenhopper.jira:gh-epic-status,Epic Status,10112,Default Configuration Scheme for Epic Status,False,,,False,,,10017,In Progress,,,
customfield_10012,10012,option,com.pyxis.greenhopper.jira:gh-epic-status,Epic Status,10112,Default Configuration Scheme for Epic Status,False,,,False,,,10018,Done,,,
customfield_10013,10013,string,com.pyxis.greenhopper.jira:gh-epic-color,Epic Color,10113,Default Configuration Scheme for Epic Color,False,,,False,,,,,,,
customfield_10014,10014,any,com.pyxis.greenhopper.jira:gh-epic-link,Epic Link,10114,Default Configuration Scheme for Epic Link,False,,,False,,,,,,,
customfield_10015,10015,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,Start date,10115,Default Configuration Scheme for Start date,False,,,False,,,,,,,
customfield_10005,10005,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Change type,10105,Default Configuration Scheme for Change type,False,,,False,,,10004,Standard,,,
customfield_10005,10005,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Change type,10105,Default Configuration Scheme for Change type,False,,,False,,,10005,Normal,,,
customfield_10005,10005,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Change type,10105,Default Configuration Scheme for Change type,False,,,False,,,10006,Emergency,,,
customfield_10006,10006,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Change risk,10106,Default Configuration Scheme for Change risk,False,,,False,,,10007,Critical,,,
customfield_10006,10006,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Change risk,10106,Default Configuration Scheme for Change risk,False,,,False,,,10008,High,,,
customfield_10006,10006,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Change risk,10106,Default Configuration Scheme for Change risk,False,,,False,,,10009,Medium,,,
customfield_10006,10006,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Change risk,10106,Default Configuration Scheme for Change risk,False,,,False,,,10010,Low,,,
customfield_10007,10007,option,com.atlassian.jira.plugin.system.customfieldtypes:select,Change reason,10107,Default Configuration Scheme for Change reason,False,,,False,,,10011,Repair,,,
